,연번,등급분류번호,게임물명,신청사,신청일자,결정일자,결정등급,접수번호,등급분류기관
294,94,GC-CC-NP-220923-005,라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~,(주)디지털터치,2022-09-02,2022-09-23,12세이용가,GC-DG-NP-22-00261,GCRB
295,95,GC-CC-NV-220923-002,별의 커비 Wii 디럭스,한국닌텐도 주식회사,2022-09-02,2022-09-23,전체이용가,GC-DG-NV-22-00059,GCRB
296,96,GC-CC-NP-220923-004,EXOPRIMAL (엑조프라이멀),게임피아(주),2022-09-02,2022-09-23,15세이용가,GC-DG-NP-22-00260,GCRB
297,97,GC-CC-NP-220923-003,에일리언 워,게임뮤지엄,2022-08-30,2022-09-23,전체이용가,GC-DG-NP-22-00259,GCRB
298,98,GC-CC-NP-220923-002,MOONBREAKER(문브레이커),(주)크래프톤,2022-08-29,2022-09-23,12세이용가,GC-DG-NP-22-00257,GCRB
299,99,GC-CC-NP-220923-001,Session: Skate Sim (세션: 스케이트 시뮬레이션),(주)에이치투인터렉티브,2022-08-17,2022-09-23,15세이용가,GC-DG-NP-22-00241,GCRB
300,100,GC-CC-NV-220923-001,포트리스 S,대원미디어(주),2022-08-08,2022-09-23,전체이용가,GC-DG-NV-22-00052,GCRB
301,101,,피망 카지노:로얄,주식회사 네오위즈,2022-07-18,2022-09-01,등급거부,DS-OM-22-00008,GRAC
302,102,,다찌볼 슬롯(DOTGEBALL SLOT),주식회사 주엔터테인먼트,2022-08-09,2022-09-01,등급거부,DS-NP-22-00009,GRAC
303,103,,메가스핀 (MEGASPIN),플라이소프트,2022-07-08,2022-09-22,등급거부,DG-OM-22-00103,GRAC
304,104,,도그하우스(TheDogHouse),에이치피(HP)엔터테인먼트,2022-07-27,2022-09-22,등급거부,DS-OM-22-00017,GRAC
305,105,,888드래곤즈(888Dragons),에이치피(HP)엔터테인먼트,2022-07-28,2022-09-22,등급거부,DS-OM-22-00018,GRAC
306,106,,머니머니머니(MoneyMoneyMoney),에이치피(HP)엔터테인먼트,2022-07-28,2022-09-22,등급거부,DS-OM-22-00021,GRAC
307,107,,스파르탄킹(SpartanKing),에이치피(HP)엔터테인먼트,2022-07-28,2022-09-22,등급거부,DS-OM-22-00022,GRAC
308,108,,아즈텍젬스(AztecGems),에이치피(HP)엔터테인먼트,2022-07-28,2022-09-22,등급거부,DS-OM-22-00019,GRAC
309,109,,트리플드래곤즈(TripleDragons),에이치피(HP)엔터테인먼트,2022-07-28,2022-09-22,등급거부,DS-OM-22-00023,GRAC
310,110,,푸푸푸(FuFuFu),에이치피(HP)엔터테인먼트,2022-07-28,2022-09-22,등급거부,DS-OM-22-00020,GRAC
311,111,,와일드웨스트골드(WildWestGold),에이치피(HP)엔터테인먼트,2022-08-08,2022-09-22,등급거부,DS-OM-22-00026,GRAC
312,112,,죽은자의귀환(ReturnOfTheDead),에이치피(HP)엔터테인먼트,2022-08-08,2022-09-22,등급거부,DS-OM-22-00025,GRAC
313,113,,판다의행운(Panda’sFortune),에이치피(HP)엔터테인먼트,2022-08-08,2022-09-22,등급거부,DS-OM-22-00027,GRAC
314,114,,핫피에스타(HotFiesta),에이치피(HP)엔터테인먼트,2022-08-08,2022-09-22,등급거부,DS-OM-22-00024,GRAC
315,115,,골드트레인(GoldTrain),에이치피(HP)엔터테인먼트,2022-09-13,2022-09-22,등급거부,DS-OM-22-00014,GRAC
316,116,,그레이트라이노(GreatRhino),에이치피(HP)엔터테인먼트,2022-09-13,2022-09-22,등급거부,DS-OM-22-00011,GRAC
317,117,,에잇드래곤즈(EightDragons),에이치피(HP)엔터테인먼트,2022-09-13,2022-09-22,등급거부,DS-OM-22-00013,GRAC
318,118,,타이거워리어(TheTigerWarrior),에이치피(HP)엔터테인먼트,2022-09-13,2022-09-22,등급거부,DS-OM-22-00012,GRAC
319,119,,바다신2,진소프트,2022-09-27,2022-09-29,등급거부,DS-NA-22-00012,GRAC
320,120,,토너먼트 홀덤,주식회사 위미소프트,2022-07-19,2022-09-29,등급거부,DS-OM-22-00028,GRAC
321,1,CC-NA-221103-001,황궁성Poker,월드콘텐츠,2022-08-11,2022-11-03,청소년이용불가,DG-NA-22-00066,GRAC
